trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,14,8.981792689880244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-20.516224308144054,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,14,10.027023341818053,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,0,8.99807172635448,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,14,10.510998305680785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,3,26.109808212471165,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,16,3.7166478014714643,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,16,25.70180071951926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,8,-18.911422653220875,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,12,17.97070516981641,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,15,-39.376535296957954,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,11,16.24820133099703,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,9,10.8849532146834,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,15,-34.507147146448624,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,16,9.426386672022494,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,13,11.063636970832832,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,3,34.67880708122723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,16,8.550696777149394,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,4,31.799639203419932,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,8,16.142931234112,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,14,20.543784331165575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,7,26.536995661830193,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.16202575093388075}",20,7,8.084422108501284,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15881742610692068}",25,8,31.828727500486146,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
